pcap_filename,up_packets,down_packets,up_bytes,down_bytes,up_size_min,up_size_max,up_size_mean,up_size_std,down_size_min,down_size_max,down_size_mean,down_size_std,up_iat_min,up_iat_max,up_iat_mean,up_iat_std,down_iat_min,down_iat_max,down_iat_mean,down_iat_std,label
abc_net_au_v6.pcap,74,73,6156,865612,60.0,589.0,83.1891891891892,61.06037678278853,72.0,57244.0,11857.698630136987,13744.471646472375,5.9604644775390625e-06,0.0966498851776123,0.0026714246566981485,0.011610118927819912,9.5367431640625e-07,0.1003868579864502,0.0026513602998521593,0.012043560053201275,abc_net_au
cnbc_com_v5.pcap,16,18,1966,5546,60.0,589.0,122.875,123.40273244543656,72.0,2755.0,308.1111111111111,611.6991716057901,7.867813110351562e-06,0.0703420639038086,0.00658121109008789,0.01719915021736448,9.5367431640625e-07,0.07368993759155273,0.005594702327952665,0.01720961443398095,cnbc_com
rt_com_v6.pcap,150,144,11597,393545,60.0,589.0,77.31333333333333,43.081803841322866,72.0,2968.0,2732.9513888888887,760.9958600582848,4.0531158447265625e-06,0.20371103286743164,0.012102187879933607,0.03412378843717565,1.9073486328125e-06,0.25974202156066895,0.011185629384500998,0.0338694560233655,rt_com
news18_com_v8.pcap,90,88,7327,1221464,60.0,589.0,81.41111111111111,55.60753235238,72.0,56544.0,13880.272727272728,17857.073254625866,5.0067901611328125e-06,0.05983781814575195,0.001376326164502776,0.006385782444827588,9.5367431640625e-07,0.06356000900268555,0.0013620442357556574,0.0069102022327833705,news18_com
indiatimes_com_v7.pcap,18,14,2126,8436,60.0,589.0,118.11111111111111,117.17597824018031,72.0,2968.0,602.5714285714286,789.3675329279868,8.106231689453125e-06,0.05843305587768555,0.008977357079001033,0.015214507518849509,9.5367431640625e-07,0.07169294357299805,0.01070869885958158,0.018879741766701003,indiatimes_com
nypost_com_v4.pcap,142,133,10244,1580369,60.0,577.0,72.14084507042253,62.179498404386216,60.0,57000.0,11882.473684210527,14632.32204555368,2.86102294921875e-06,0.060051918029785156,0.0022504329681396484,0.007023586788290249,9.5367431640625e-07,0.0725240707397461,0.0023118420080705123,0.008326086174608073,nypost_com
cnbc_com_v8.pcap,16,17,1978,5487,60.0,589.0,123.625,123.05429441917092,72.0,2756.0,322.7647058823529,626.6220860728779,8.106231689453125e-06,0.05732107162475586,0.007013924916585286,0.013946955971480778,9.5367431640625e-07,0.06067299842834473,0.006349191069602966,0.014622556441194035,cnbc_com
indiatimes_com_v3.pcap,21,18,2330,8724,60.0,589.0,110.95238095238095,109.91272563373099,72.0,1520.0,484.6666666666667,546.2320426745803,4.0531158447265625e-06,0.09322595596313477,0.008322393894195557,0.02022998302298893,9.5367431640625e-07,0.1066579818725586,0.00899341527153464,0.02492118521164369,indiatimes_com
washingtonpost_com_v8.pcap,17,15,2045,5428,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,361.8666666666667,720.5835474730802,5.9604644775390625e-06,0.05911397933959961,0.005834996700286865,0.014103667128939427,9.5367431640625e-07,0.06278300285339355,0.0063762835093906945,0.016050642811293477,washingtonpost_com
indiatimes_com_v2.pcap,18,19,2126,8796,60.0,589.0,118.11111111111111,117.17597824018031,72.0,2944.0,462.94736842105266,711.3786817222347,5.9604644775390625e-06,0.05864596366882324,0.008555776932660271,0.014125592434860636,0.0,0.07258987426757812,0.007333609792921279,0.016753714490391394,indiatimes_com
news18_com_v9.pcap,87,87,7080,1221337,60.0,589.0,81.37931034482759,56.49275029865323,72.0,56544.0,14038.356321839081,15911.536864859107,4.0531158447265625e-06,0.05759692192077637,0.0014644306759501612,0.0062579873026942555,9.5367431640625e-07,0.061125993728637695,0.0014193141183187795,0.0066435287456027125,news18_com
news18_com_v4.pcap,84,84,6864,1221151,60.0,589.0,81.71428571428571,57.46439299762101,72.0,56544.0,14537.511904761905,17585.881619785127,4.0531158447265625e-06,0.058367013931274414,0.0018784942397152085,0.00677019147994314,9.5367431640625e-07,0.06184816360473633,0.0018323990235845726,0.007131436590205107,news18_com
rt_com_v9.pcap,149,145,11525,393594,60.0,589.0,77.3489932885906,43.22392547982959,72.0,2968.0,2714.441379310345,771.8981340320984,7.152557373046875e-06,0.20476603507995605,0.01272852034182162,0.03653993262522559,1.9073486328125e-06,0.26168394088745117,0.011660521229108175,0.0353400112831719,rt_com
washingtonpost_com_v5.pcap,17,18,2045,5643,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,313.5,666.5740143950007,5.9604644775390625e-06,0.06068015098571777,0.0059081315994262695,0.014505882195388273,9.5367431640625e-07,0.06417202949523926,0.005330113803639132,0.015111066985254346,washingtonpost_com
