pcap_filename,label,total_trace_packets,trace_pt_1,trace_pt_2,trace_pt_3,trace_pt_4,trace_pt_5,trace_pt_6,trace_pt_7,trace_pt_8,trace_pt_9,trace_pt_10,trace_pt_11,trace_pt_12,trace_pt_13,trace_pt_14,trace_pt_15,trace_pt_16,trace_pt_17,trace_pt_18,trace_pt_19,trace_pt_20
indiatimes_com_v9.pcap,indiatimes_com,19,-589.0,2222.7894736842104,3517.1052631578946,4931.0,5374.684210526316,5317.0,5196.263157894737,5082.578947368421,4976.0526315789475,4859.421052631579,4972.631578947368,5327.894736842106,5594.0,5710.526315789473,5949.157894736842,6519.578947368422,6876.736842105263,6779.894736842105,6699.0526315789475,6790.0
ndtv_com_v8.pcap,ndtv_com,17,-589.0,1910.3684210526312,2727.9473684210525,2809.0,2693.5263157894738,2593.5263157894738,2492.3684210526317,2402.2631578947367,2293.0,2475.1052631578946,2790.894736842105,3043.0,3151.842105263158,3238.578947368421,3538.4736842105262,3913.2105263157896,4037.2105263157896,3952.684210526316,3902.157894736842,3983.0
abc_net_au_v5.pcap,abc_net_au,79,-589.0,3081.2631578947367,3185.9473684210525,3798.473684210526,14349.684210526313,25086.105263157897,48702.10526315789,72927.7894736842,96924.84210526315,131134.1052631579,169382.5263157894,212813.26315789475,283476.5789473684,339710.68421052594,443652.5789473684,545613.0000000002,639799.947368421,753572.9999999999,837700.1578947369,864041.0
nypost_com_v1.pcap,nypost_com,319,-577.0,4115.0,22056.578947368413,66046.57894736838,128862.42105263157,202407.68421052632,291298.9473684209,383875.1052631578,479777.26315789466,578626.4210526315,682542.7368421052,760524.7894736844,861853.9473684209,951615.3157894736,1046924.526315789,1149411.0526315789,1268627.1578947366,1371629.421052631,1482186.47368421,1589398.0
express_co_uk_v4.pcap,express_co_uk,13,-589.0,1260.2631578947367,2762.157894736842,3777.7368421052633,3875.421052631579,3792.3684210526317,3717.842105263158,3642.0526315789475,3566.3684210526317,3498.7894736842104,3422.0526315789475,3336.157894736842,3474.315789473684,3610.1052631578946,3700.4210526315787,3674.2105263157896,3760.7368421052633,4605.157894736842,4921.631578947368,4861.0
washingtonpost_com_v4.pcap,washingtonpost_com,16,-589.0,1754.157894736842,2817.2631578947367,3080.0,2965.3684210526317,2872.2105263157896,2776.842105263158,2688.684210526316,2594.105263157895,2538.4736842105262,2834.5263157894733,3130.5789473684213,3312.0,3409.1052631578946,3490.6315789473683,3575.1052631578946,3526.947368421053,3448.5789473684213,3413.2105263157896,3489.0
abc_net_au_v8.pcap,abc_net_au,74,-589.0,2919.1052631578946,3290.578947368421,3848.842105263158,14122.473684210527,24282.0,47650.42105263158,68808.73684210527,96368.73684210527,123852.52631578947,177324.10526315792,227213.78947368433,282057.15789473685,365784.31578947365,446878.2631578947,552782.6842105264,637500.5789473684,726028.9999999997,837573.0,862992.0
news18_com_v6.pcap,news18_com,96,-589.0,3767.0,4155.0,7641.0,22481.0,41665.0,70985.0,101753.0,138313.0,187905.0,291073.0,419156.0,493364.0,616804.0,685220.0,748730.0,816255.0,986109.9999999995,1115342.0,1220024.0
abc_net_au_v2.pcap,abc_net_au,73,-589.0,3117.842105263158,2948.105263157895,3679.0526315789475,10600.63157894737,20928.842105263157,33877.78947368421,60062.21052631579,80683.26315789473,103438.21052631577,143721.57894736843,203133.78947368436,263155.6842105263,388489.9999999999,456132.9473684211,567063.4736842106,665647.894736842,760040.7368421053,829970.0,863609.0
indiatimes_com_v6.pcap,indiatimes_com,19,-589.0,2222.7894736842104,3517.1052631578946,4931.0,5374.684210526316,5317.0,5196.263157894737,5082.578947368421,4976.0526315789475,4859.421052631579,4972.631578947368,5327.894736842106,5594.0,5710.526315789473,5949.157894736842,6519.578947368422,6876.736842105263,6779.894736842105,6699.0526315789475,6790.0
indiatimes_com_v10.pcap,indiatimes_com,19,-589.0,2200.052631578947,3514.578947368421,4920.894736842105,5372.157894736842,5317.0,5196.263157894737,5082.578947368421,4976.0526315789475,4859.421052631579,4972.631578947368,5327.894736842106,5594.0,5710.526315789473,5753.894736842105,5812.526315789475,6391.684210526316,6779.894736842105,6699.0526315789475,6790.0
news18_com_v5.pcap,news18_com,85,-589.0,3834.315789473684,3719.7894736842104,4388.315789473684,15606.736842105262,29642.94736842108,66466.1052631579,95363.36842105264,134320.42105263157,182575.15789473685,252930.94736842113,358496.0,501632.84210526315,600719.9999999998,701407.5789473684,804533.8947368423,942335.9999999999,1041727.9999999999,1160172.6315789474,1219231.0
express_co_uk_v8.pcap,express_co_uk,14,-589.0,1414.3684210526314,2891.6315789473683,3848.4736842105262,3971.6315789473683,3961.7368421052633,3870.5789473684213,3789.842105263158,3707.684210526316,3627.105263157895,3553.8947368421054,3465.421052631579,3453.842105263158,3625.578947368421,3734.7894736842104,3767.8947368421054,3697.421052631579,4537.052631578945,4999.684210526316,4934.0
cnbc_com_v6.pcap,cnbc_com,16,-589.0,1586.7894736842104,2079.0,1971.5263157894738,1877.8947368421052,1782.3684210526317,1697.157894736842,1599.5263157894738,1655.4210526315787,1951.4736842105262,2247.5263157894733,2378.0,2468.7894736842104,2495.8947368421054,2446.9473684210525,2851.157894736842,3228.210526315789,3360.5789473684213,3325.2105263157896,3401.0
timesofindia_com_v6.pcap,timesofindia_com,132,-589.0,4749.526315789473,10920.0,11241.0,23012.315789473683,42027.8947368421,64472.94736842106,93853.15789473683,127043.8947368421,168922.6315789474,218117.5789473684,277600.9473684211,356136.94736842107,457993.36842105247,611596.7368421052,788139.4736842107,956146.6315789473,1109445.1578947366,1238966.0000000002,1305379.0
rt_com_v3.pcap,rt_com,146,-589.0,2280.684210526316,14041.052631578945,36691.57894736843,59342.10526315789,81992.63157894737,104643.15789473684,127293.6842105263,149944.2105263158,172594.73684210525,195245.26315789475,217895.7894736842,240546.31578947368,263196.8421052631,285847.3684210526,308497.8947368421,331148.4210526316,353798.947368421,376449.4736842105,391703.0
